best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-55,301,135,172,27,0,22
-62,1552,154,183,46,0,20
-94,1995,146,188,51,0,21
-103,315,128,185,8,0,8
-105,1310,125,173,37,0,15
-131,326,121,161,12,0,4
-79,1015,125,165,3,0,18
-78,657,157,190,28,0,10
-60,1160,157,197,34,0,12
-51,705,124,173,40,0,40
-85,1520,137,172,20,0,27
-174,161,115,170,37,0,9
-80,295,120,176,3,0,13
-51,319,113,167,29,0,10
-64,1014,140,179,76,0,9
-58,1525,146,186,22,0,18
-62,1620,146,185,8,0,11
-62,725,150,181,31,0,8
-63,1017,131,173,9,0,6
-97,73,113,169,14,0,7
-70,1272,107,168,0,0,14
-85,182,137,176,84,0,7
-64,231,96,159,7,0,8
-63,1998,123,171,8,0,7
-84,1334,141,178,30,0,28
-49,1073,126,170,40,0,9
-67,409,154,193,22,0,38
-78,1495,121,172,42,0,524
-72,509,117,159,41,0,13
-89,239,128,165,0,0,5
-67,1568,156,194,62,0,18
-78,1095,131,178,14,0,13
-102,65,108,156,47,0,9
-60,293,97,156,37,0,13
-91,113,133,180,43,0,7
-74,1192,139,170,22,0,21
-96,1199,138,186,21,0,9
-76,169,115,169,34,0,18
-112,413,131,181,6,0,15
-75,951,147,187,58,0,100
-73,320,147,185,66,0,64
-77,605,120,162,29,0,12
-63,517,148,187,12,0,13
-48,955,133,172,10,0,5
-53,752,118,170,0,0,11
-93,220,134,178,43,0,8
-53,1602,126,172,42,0,8
-102,79,123,166,3,0,12
-56,358,146,185,54,0,16
-66,1205,112,162,45,0,10
-66,1889,122,167,20,0,6
-77,279,121,160,26,0,12
-79,128,155,191,33,0,16
-51,453,121,160,57,0,142
-73,1234,141,184,24,0,20
-64,1578,136,177,27,0,7
-63,278,141,174,37,0,7
-66,835,101,149,23,0,5
-56,1839,136,182,25,0,8
-60,859,129,177,6,0,34
-66,142,162,191,9,0,12
-79,237,165,193,16,0,57
-64,259,124,173,11,0,9
-76,1169,126,160,13,0,11
-63,1677,147,190,36,0,5
-82,1992,139,183,59,0,14
-72,440,133,182,41,0,15
-67,699,124,162,8,0,9
-70,1721,101,151,43,0,4
-77,1917,97,152,15,0,5
-79,746,133,169,2,0,26
-54,341,129,176,32,0,18
-70,540,127,183,17,0,9
-63,585,130,177,36,0,17
-127,282,120,165,0,0,8
-53,218,147,191,44,0,2
-55,675,154,197,54,0,12
-76,161,153,187,26,0,23
-86,738,149,187,26,0,17
-119,1152,114,156,2,0,10
-91,146,121,165,20,0,37
-69,69,129,167,67,0,10
-93,1167,133,174,31,0,21
-74,1770,99,150,12,0,5
-89,1233,158,190,31,0,25
-157,165,105,157,29,0,22
-76,381,121,152,17,0,17
-88,817,143,175,78,0,12
-47,174,149,196,7,0,8
-59,1619,155,193,61,0,12
-65,1467,117,171,10,0,8
-55,1632,122,162,9,0,157
-94,291,125,181,45,0,18
-58,271,125,169,9,0,45
-105,368,103,164,21,0,12
-60,1931,132,175,3,0,16
-80,171,125,168,10,0,6
-82,348,148,190,39,0,27
-60,348,118,164,42,0,4
-75,179,153,197,25,0,6
