best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-2,317,50,55,0,0,258
0,962,28,25,0,0,235
-2,451,52,48,0,0,80
0,729,25,22,0,0,171
0,509,29,27,0,0,56
-3,704,84,58,0,0,538
0,937,27,17,0,0,20
-2,521,51,53,0,0,256
-2,596,57,59,0,0,93
0,588,27,23,0,0,245
-2,659,57,50,0,0,71
-2,936,58,40,0,0,286
-1,718,52,27,0,0,142
-3,781,87,59,0,0,387
-3,434,81,55,0,0,52
0,662,28,29,0,0,114
-1,661,53,28,0,0,79
-1,590,51,28,0,0,292
-2,638,58,50,0,0,32
0,606,23,18,0,0,259
-2,464,51,51,0,0,87
-2,576,57,58,0,0,155
-1,778,58,26,0,0,195
0,658,28,26,0,0,173
-2,988,51,50,0,0,416
-2,595,59,44,0,0,211
-2,606,56,44,0,0,275
-2,564,59,50,0,0,149
-3,679,83,59,0,0,257
-2,708,58,44,0,0,163
-2,616,55,56,0,0,50
-3,816,89,54,0,0,265
0,693,29,20,0,0,145
-1,644,48,27,0,0,197
-2,630,57,49,0,0,176
-2,458,59,51,0,0,52
-2,752,57,48,0,0,116
-2,909,55,37,0,0,209
-2,685,58,49,2,0,149
-2,468,59,58,0,0,160
-2,778,55,39,0,0,141
0,779,29,26,0,0,111
-2,587,58,48,0,0,120
-2,669,57,37,0,0,38
-2,568,52,59,0,0,60
-2,750,56,54,0,0,86
-2,821,56,43,0,0,84
0,658,28,29,0,0,35
0,901,29,24,0,0,142
0,774,28,26,0,0,129
-2,622,57,50,0,0,17
-1,554,53,29,2,0,60
-2,357,56,41,3,0,99
-1,780,43,28,0,0,173
-2,954,58,50,0,0,211
-1,557,51,27,0,0,85
-3,283,82,54,0,0,259
-2,566,51,43,0,0,214
-3,632,83,58,0,0,341
-2,701,52,44,0,0,132
-2,646,57,39,0,0,62
-1,625,59,29,0,0,92
-3,148,87,58,0,0,97
-3,461,79,55,0,0,163
-2,573,58,42,3,0,123
-2,923,52,56,3,0,331
-2,558,57,54,0,0,263
-2,439,59,46,0,0,44
-2,870,52,45,0,0,102
-2,522,59,57,0,0,74
-1,744,52,29,0,0,81
-2,458,57,56,0,0,246
-1,429,49,28,0,0,150
0,548,28,29,0,0,111
0,768,26,18,0,0,200
-2,490,59,55,0,0,43
-2,434,57,55,0,0,333
-3,538,83,57,0,0,69
-2,975,59,51,7,0,123
-1,659,56,24,0,0,100
-1,700,55,28,5,0,54
-2,886,43,44,0,0,220
-1,871,51,25,0,0,146
-1,679,53,28,0,0,249
-2,856,58,40,0,0,376
-2,526,54,58,0,0,64
0,770,27,20,0,0,92
-1,493,40,25,0,0,36
0,700,29,18,0,0,31
-2,646,57,44,0,0,210
-2,834,57,57,0,0,140
-2,628,53,38,0,0,391
-1,520,52,24,0,0,88
0,715,29,17,0,0,135
-1,985,53,29,2,0,234
-1,798,58,26,10,0,123
-4,404,88,82,0,0,191
-2,861,58,49,0,0,220
-1,693,49,29,0,0,72
-1,737,48,29,0,0,247
