best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-2,575,59,54,0,0,75
-1,632,45,29,0,0,7
-2,255,59,41,0,0,37
-1,657,56,29,0,0,50
-1,653,50,28,0,0,113
0,598,29,20,0,0,105
0,524,24,19,0,0,22
-2,977,57,51,0,0,33
0,535,26,24,0,0,88
-3,149,87,58,6,0,33
0,916,29,25,0,0,37
-1,628,47,24,0,0,10
0,992,29,25,0,0,210
-1,588,48,28,0,0,167
0,772,27,29,0,0,80
0,874,28,26,0,0,119
-3,530,69,58,0,0,69
-2,215,58,55,0,0,8
-1,403,48,28,0,0,43
-1,479,42,29,0,0,33
0,854,27,26,0,0,158
-2,603,56,45,0,0,119
-2,933,59,53,0,0,248
-2,562,56,55,0,0,51
0,666,26,26,0,0,101
-2,368,56,48,0,0,12
-2,517,59,51,0,0,178
-2,665,57,55,0,0,25
-2,675,57,45,0,0,15
-2,412,58,47,0,0,145
-2,471,58,48,0,0,78
-2,883,57,48,0,0,149
0,645,26,19,0,0,48
-3,679,82,58,11,0,45
-2,321,52,47,0,0,51
-1,699,53,29,0,0,182
-1,689,39,21,0,0,20
0,690,28,25,0,0,17
-3,301,89,56,0,0,116
-2,623,57,55,0,0,42
-1,285,56,27,0,0,129
0,771,29,25,0,0,22
-1,844,51,29,0,0,17
-1,734,50,29,0,0,112
-3,516,77,58,0,0,27
-1,851,46,28,0,0,158
-2,872,57,54,4,0,50
-1,903,51,27,0,0,199
-1,864,49,28,0,0,2
-2,731,59,42,0,0,4
-3,754,72,56,0,0,76
-2,407,52,47,0,0,115
0,662,29,18,0,0,111
-2,351,55,50,0,0,7
-2,212,49,54,2,0,46
-1,777,52,29,0,0,216
-2,623,59,51,0,0,139
-2,728,59,45,0,0,13
-1,888,57,27,0,0,201
-2,485,57,41,0,0,54
-1,728,51,26,0,0,87
0,911,26,29,0,0,31
-2,683,58,45,0,0,31
-1,701,44,27,0,0,12
-2,284,56,47,0,0,49
-2,327,58,47,0,0,68
-2,815,57,52,0,0,72
0,790,27,27,0,0,32
-2,579,57,48,0,0,54
-2,242,57,44,0,0,90
-2,659,58,52,0,0,21
-1,375,46,29,0,0,50
-2,605,57,43,0,0,89
-2,622,58,55,0,0,45
-1,610,46,29,0,0,20
-3,702,74,55,2,0,100
-2,444,54,46,0,0,86
0,538,26,26,0,0,22
-1,730,49,29,2,0,20
-2,635,57,51,0,0,27
-1,333,47,29,0,0,28
0,743,28,27,0,0,103
-1,318,48,20,0,0,52
0,987,28,28,0,0,84
0,703,27,20,0,0,188
-2,347,49,54,0,0,117
0,313,25,21,0,0,38
-2,187,55,59,0,0,31
0,942,27,26,0,0,75
-2,830,56,47,0,0,12
-1,504,46,29,0,0,45
-1,859,50,29,0,0,190
-2,639,59,44,0,0,34
-2,552,58,55,0,0,76
-1,675,56,29,0,0,112
-1,257,42,29,3,0,78
-2,513,59,51,0,0,55
-1,715,54,28,2,0,105
-2,287,54,43,0,0,23
-1,679,53,28,0,0,66
