best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-14,963,10,4,0,0,73
-13,973,9,4,0,0,207
-26,993,20,6,0,0,175
-41,950,27,14,0,0,98
-17,991,13,4,0,0,133
-10,973,7,3,0,0,154
-30,995,15,15,0,0,25
-11,960,5,6,0,0,151
-11,973,4,7,0,0,48
-30,985,15,15,0,0,9
-17,960,7,10,0,0,238
-12,958,5,7,0,0,98
-22,983,13,9,0,0,255
-34,1000,23,11,0,0,264
-26,998,13,13,0,0,191
-23,968,8,15,0,0,71
-25,999,19,6,0,0,66
-25,990,16,9,0,0,81
-21,987,11,10,0,0,48
-11,956,5,6,0,0,90
-55,1000,28,27,0,0,369
-20,971,12,8,0,0,207
-21,955,11,10,0,0,55
-26,876,11,15,0,0,42
-10,899,4,6,0,0,246
-17,954,12,5,0,0,343
-23,977,14,9,0,0,174
-15,991,9,6,0,0,158
-15,969,11,4,0,0,181
-29,999,16,13,0,0,146
-44,1000,22,22,0,0,306
-16,959,7,9,0,0,185
-24,995,17,7,0,0,67
-26,998,12,14,0,0,35
-25,981,17,8,0,0,99
-27,978,13,14,0,0,100
-52,973,36,16,0,0,110
-34,999,21,13,0,0,99
-34,998,18,16,0,0,58
-75,1000,41,34,0,0,201
-11,922,9,2,0,0,76
-17,999,12,5,0,0,65
-12,993,6,6,0,0,163
-41,995,23,18,0,0,39
-9,995,6,3,0,0,194
-11,890,8,3,0,0,87
-17,994,14,3,0,0,222
-24,999,8,16,0,0,218
-34,984,14,20,0,0,137
-71,980,38,33,0,0,234
-12,989,4,8,0,0,191
-27,937,19,8,0,0,61
-19,996,7,12,0,0,155
-21,994,13,8,0,0,290
-25,990,15,10,0,0,46
-48,991,31,17,0,0,231
-23,961,15,8,0,0,127
-18,977,6,12,0,0,166
-30,992,19,11,0,0,257
-15,991,10,5,0,0,124
-37,983,23,14,0,0,275
-26,994,17,9,0,0,76
-16,949,6,10,0,0,135
-35,958,15,20,0,0,273
-17,981,8,9,0,0,213
-11,937,5,6,0,0,136
-43,1000,24,19,0,0,198
-37,999,26,11,0,0,46
-13,994,8,5,0,0,282
-59,990,35,24,0,0,43
-24,994,18,6,0,0,48
-33,998,21,12,0,0,117
-39,983,26,13,0,0,118
-8,974,7,1,0,0,251
-66,996,36,30,0,0,500
-8,967,6,2,0,0,225
-39,999,24,15,0,0,339
-20,994,11,9,0,0,102
-37,977,23,14,0,0,145
-14,997,9,5,0,0,57
-86,983,41,45,0,0,57
-54,965,32,22,0,0,204
-14,993,6,8,0,0,192
-58,996,27,31,0,0,27
-31,997,18,13,0,0,331
-32,1000,22,10,0,0,51
-12,946,9,3,0,0,34
-27,988,14,13,0,0,279
-8,991,4,4,0,0,90
-84,999,44,40,0,0,429
-13,947,7,6,0,0,75
-40,997,27,13,0,0,43
-28,977,17,9,2,0,160
-14,994,7,7,0,0,82
-9,903,8,1,0,0,89
-10,961,7,3,0,0,42
-13,982,9,4,0,0,34
-16,982,10,6,0,0,164
-23,986,18,5,0,0,37
-23,957,11,12,0,0,97
