best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-6,71,61,139,1,0,71
-6,32,63,140,0,0,32
-7,45,83,170,0,0,27
-7,72,87,159,1,0,66
-22,79,104,163,8,14,None
-7,44,86,167,0,0,23
-7,68,89,166,0,0,54
-6,61,78,148,12,0,30
-6,17,82,142,0,0,17
-7,40,88,159,0,0,29
-6,54,89,144,0,0,54
-7,17,88,161,0,0,17
-6,46,84,142,0,0,46
-6,40,88,146,8,0,20
-7,56,87,163,0,0,21
-6,45,73,144,0,0,35
-11,92,63,132,0,5,None
-7,92,81,160,5,0,60
-8,62,102,168,1,0,62
-6,53,75,149,0,0,38
-6,37,81,148,0,0,30
-6,59,73,137,0,0,59
-6,78,81,145,0,0,36
-5,97,59,141,0,0,14
-7,35,88,159,11,0,12
-5,36,53,135,0,0,27
-6,57,67,137,0,0,57
-7,46,86,155,0,0,21
-23,83,71,148,0,17,None
-6,47,79,144,1,0,2
-8,90,90,163,13,0,90
-6,72,85,145,0,0,72
-7,58,85,152,5,0,58
-6,97,68,129,0,0,97
-5,82,57,143,0,0,21
-6,87,83,146,0,0,60
-6,56,74,144,2,0,55
-6,95,72,147,0,0,95
-6,86,81,143,4,0,46
-6,72,81,147,0,0,55
-5,88,58,129,0,0,56
-8,48,105,179,0,0,44
-8,74,119,175,0,0,74
-6,34,73,145,0,0,24
-8,22,102,175,20,0,11
-6,88,86,145,0,0,20
-8,95,108,173,10,0,95
-6,83,77,149,3,0,67
-7,31,86,175,4,0,20
-5,93,54,139,1,0,48
-6,37,87,149,1,0,29
-16,98,90,165,0,8,None
-8,63,98,166,5,0,63
-7,49,87,154,4,0,42
-8,60,104,179,0,0,60
-7,61,84,157,23,0,61
-7,85,85,162,7,0,85
-7,59,85,156,0,0,59
-8,22,106,175,16,0,12
-6,98,73,148,0,0,97
-6,99,78,148,0,0,77
-7,62,86,164,0,0,62
-7,98,88,157,0,0,32
-7,56,89,163,7,0,8
-8,65,116,167,4,0,65
-8,72,97,165,0,0,72
-7,31,85,161,0,0,30
-16,36,78,144,0,10,None
-6,55,73,148,0,0,50
-8,53,112,168,0,0,53
-7,59,87,159,0,0,21
-7,55,87,161,0,0,11
-7,52,80,176,2,0,46
-24,88,72,125,0,18,None
-7,32,89,162,0,0,28
-10,100,121,183,0,0,None
-8,44,114,167,3,0,43
-7,69,76,161,0,0,69
-6,83,87,148,0,0,32
-6,58,84,139,0,0,41
-7,34,78,166,7,0,34
-7,85,86,158,0,0,58
-8,38,107,167,10,0,36
-8,81,101,171,6,0,81
-7,94,63,135,1,1,None
-10,77,68,143,0,4,None
-6,97,65,142,0,0,97
-6,33,82,143,0,0,33
-6,73,78,148,0,0,47
-6,56,83,149,0,0,20
-8,61,115,173,16,0,60
-6,22,84,145,0,0,15
-12,87,66,145,0,6,None
-8,91,113,177,7,0,75
-6,82,79,147,3,0,82
-7,59,86,159,0,0,49
-7,48,89,137,15,1,None
-6,87,77,148,0,0,77
-6,46,72,145,0,0,46
-6,84,70,140,0,0,84
