best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-1,642,51,24,0,0,142
-3,781,74,57,0,0,137
-1,714,50,28,0,0,320
-2,647,57,46,0,0,187
-2,721,58,41,0,0,109
-3,658,75,59,0,0,431
-2,756,56,50,0,0,99
-1,820,47,28,0,0,134
-1,750,59,28,0,0,432
-2,807,52,52,0,0,61
-2,976,59,53,0,0,450
-3,817,84,51,0,0,67
0,933,28,18,0,0,111
-1,697,53,29,0,0,175
-2,538,47,42,0,0,396
-1,819,48,28,3,0,275
-1,772,50,26,1,0,595
-3,814,71,59,0,0,394
-2,778,55,50,0,0,206
-3,639,85,58,0,0,474
-3,717,78,54,0,0,388
-2,708,54,42,0,0,111
-1,606,48,28,0,0,72
-2,522,59,45,0,0,266
-3,743,89,59,0,0,139
0,949,27,28,0,0,362
-2,559,59,57,0,0,477
-3,719,88,59,9,0,583
-1,769,40,28,0,0,273
-3,803,64,53,0,0,334
-1,764,54,29,0,0,284
-3,944,76,58,0,0,248
-2,532,55,44,0,0,308
-2,983,58,59,3,0,185
-1,690,47,25,0,0,76
-1,819,46,29,0,0,176
-3,627,84,53,0,0,233
-3,402,88,57,0,0,173
-3,587,70,57,0,0,159
-4,242,84,61,0,0,14
0,704,25,25,0,0,399
-2,819,54,44,0,0,65
-3,840,85,58,6,0,69
-1,725,53,29,0,0,269
-2,827,58,51,0,0,505
-3,600,83,59,0,0,379
-3,904,80,53,3,0,573
-1,811,54,29,0,0,408
-1,708,43,26,0,0,291
-2,950,59,40,0,0,240
-3,827,79,53,0,0,345
-2,225,58,50,0,0,49
-2,832,57,48,0,0,264
-1,788,43,29,0,0,530
-2,973,56,51,0,0,184
-2,834,58,57,0,0,255
-2,782,58,46,0,0,258
-1,736,39,28,0,0,459
0,686,28,29,0,0,151
-2,661,52,47,0,0,289
-2,856,53,41,0,0,35
0,985,29,29,0,0,303
-3,441,85,57,0,0,441
-5,430,119,88,0,0,430
-3,470,85,53,0,0,220
-1,550,46,29,0,0,54
0,839,28,24,0,0,272
-2,622,58,56,0,0,126
-1,873,54,29,0,0,547
-2,737,59,41,0,0,267
-2,540,57,52,0,0,26
0,770,27,27,0,0,373
-1,973,52,29,0,0,361
-1,586,50,25,0,0,367
-2,846,58,38,0,0,45
-3,882,84,55,0,0,386
-1,963,54,29,0,0,118
0,904,26,19,0,0,163
-2,754,51,46,0,0,280
-3,961,76,59,0,0,72
-2,756,58,48,0,0,411
-1,897,42,26,0,0,325
-1,767,39,26,0,0,349
-2,632,56,45,0,0,326
-2,959,57,53,0,0,526
-1,922,53,29,4,0,203
-3,544,86,57,0,0,403
-1,809,39,29,0,0,325
-2,789,58,48,0,0,437
-3,343,81,52,0,0,169
0,848,29,19,0,0,143
-3,590,71,59,0,0,478
-2,983,58,44,0,0,354
-3,991,71,58,0,0,295
-1,847,56,29,0,0,41
-2,523,50,43,0,0,57
0,757,29,28,0,0,103
-2,880,59,51,0,0,457
-2,808,54,52,0,0,296
-3,595,70,54,0,0,472
