best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-65,1325,128,176,28,0,16
-59,817,123,171,50,0,36
-92,1461,126,170,38,0,48
-70,1700,130,174,21,0,35
-116,1998,126,164,1,0,76
-88,1959,131,170,35,0,50
-84,1913,108,150,12,0,38
-61,1767,115,177,4,0,13
-76,1553,113,165,34,0,50
-80,1779,130,178,10,0,13
-79,809,132,180,27,0,59
-85,1760,113,157,17,0,125
-79,1973,134,184,28,0,68
-63,1661,122,162,21,0,66
-92,992,155,197,67,0,53
-66,1697,108,151,43,0,52
-61,1745,103,157,24,0,102
-75,1781,119,166,13,0,60
-77,1315,99,156,0,0,56
-75,1971,110,159,18,0,37
-99,891,129,177,5,0,36
-84,1899,115,168,10,0,74
-60,1931,117,166,26,0,25
-68,1152,123,169,6,0,43
-84,1925,133,165,62,0,95
-81,824,108,147,13,0,103
-82,1987,131,167,36,0,61
-69,1941,130,174,32,0,84
-79,1864,108,161,27,0,30
-61,898,121,169,58,0,20
-104,1983,107,166,0,0,41
-60,2000,129,173,25,0,15
-84,1924,96,156,5,0,37
-74,1309,118,165,9,0,25
-73,1469,115,165,8,0,68
-70,1879,111,182,6,0,56
-67,1967,134,176,2,0,82
-73,1927,145,189,26,0,93
-90,1358,90,146,11,0,21
-58,1760,92,160,10,0,18
-73,1560,125,178,12,0,32
-76,1545,120,174,31,0,23
-91,1915,95,160,15,0,34
-101,1994,145,186,84,0,43
-84,1881,120,178,17,0,15
-61,1274,120,178,5,0,122
-62,1897,108,167,5,0,42
-87,1966,121,178,11,0,54
-65,1995,108,159,16,0,50
-69,1922,119,167,4,0,46
-101,1064,141,184,25,0,92
-66,1443,127,180,32,0,82
-119,776,111,172,16,0,29
-72,1393,133,181,12,0,32
-52,1961,121,175,62,0,44
-57,1960,114,166,38,0,4
-71,1964,114,164,2,0,49
-147,975,104,154,18,0,42
-72,1844,125,166,26,0,40
-90,1232,129,174,57,0,65
-66,1431,132,174,47,0,29
-72,1888,130,173,4,0,17
-92,1671,115,155,38,0,86
-73,1653,122,175,21,0,163
-65,1584,131,178,45,0,16
-82,1948,87,156,0,0,37
-121,1997,97,145,15,0,488
-71,1258,115,170,3,0,94
-78,1864,122,162,32,0,34
-70,1409,142,177,49,0,58
-97,1238,119,161,40,0,27
-73,1778,119,173,34,0,144
-75,1805,135,171,12,0,142
-74,1432,150,190,37,0,40
-71,1339,119,165,34,0,26
-112,609,115,160,40,0,27
-71,1506,110,164,18,0,56
-56,1168,98,163,6,0,72
-128,752,119,173,0,0,13
-74,1071,118,166,15,0,21
-68,1957,120,156,9,0,21
-58,1497,129,167,11,0,52
-63,1976,115,166,78,0,40
-56,1806,142,180,21,0,45
-65,1825,127,180,64,0,33
-104,1759,111,167,0,0,71
-60,1919,101,150,37,0,32
-77,1453,139,179,83,0,84
-94,1108,127,176,27,0,40
-81,1778,108,159,29,0,36
-70,1397,128,191,65,0,75
-71,1900,147,190,44,0,97
-101,476,99,160,3,0,45
-63,1884,115,161,25,0,22
-71,1965,123,171,43,0,45
-116,1080,113,159,4,0,84
-78,1655,124,173,25,0,61
-62,1988,128,182,22,0,40
-86,1832,125,178,23,0,39
-75,980,97,146,10,0,59
