best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-6,77,72,148,0,0,9
-5,55,57,134,0,0,20
-6,18,82,143,4,0,18
-4,96,45,118,0,0,11
-6,29,75,145,0,0,22
-5,13,56,146,0,0,10
-5,9,56,140,0,0,8
-5,92,51,141,0,0,15
-7,64,88,158,0,0,9
-7,11,89,169,9,0,6
-6,22,78,149,4,0,8
-7,12,86,160,5,0,3
-6,18,65,146,0,0,9
-7,10,88,159,0,0,10
-6,37,85,144,11,0,10
-6,31,82,149,0,0,14
-5,30,59,149,0,0,2
-6,33,88,149,0,0,29
-6,11,89,149,0,0,11
-6,23,72,139,0,0,23
-6,19,87,143,3,0,14
-5,89,59,140,0,0,12
-5,87,57,124,6,0,15
-6,12,78,147,9,0,6
-6,46,84,146,3,0,17
-6,26,71,149,0,0,18
-4,78,44,116,0,0,51
-5,28,54,127,0,0,17
-4,19,58,119,0,0,19
-5,36,59,139,0,0,10
-6,64,83,148,14,0,13
-7,10,84,163,0,0,7
-6,15,87,140,5,0,15
-5,59,56,141,7,0,11
-6,16,76,149,18,0,7
-6,22,73,146,0,0,22
-6,14,88,140,2,0,11
-6,10,80,148,2,0,7
-8,4,112,177,0,0,4
-5,52,59,139,0,0,27
-6,11,83,146,0,0,4
-6,46,73,143,1,0,8
-5,33,59,126,0,0,6
-6,60,73,143,0,0,17
-6,77,81,147,0,0,14
-5,42,58,145,0,0,14
-6,22,77,143,0,0,9
-7,24,88,167,0,0,8
-4,65,55,119,0,0,13
-5,98,58,143,0,0,12
-6,24,71,146,10,0,23
-6,24,78,147,10,0,15
-6,11,70,149,2,0,4
-5,22,52,127,0,0,22
-5,44,58,144,0,0,17
-6,12,64,145,0,0,6
-6,8,79,147,3,0,7
-6,31,77,149,0,0,12
-6,24,79,149,0,0,24
-7,18,88,165,0,0,2
-5,70,59,138,0,0,9
-5,66,59,137,0,0,14
-5,46,58,131,0,0,24
-5,55,59,145,0,0,5
-4,56,47,119,0,0,6
-6,31,86,147,8,0,14
-6,28,84,146,0,0,13
-6,15,89,149,9,0,13
-6,13,77,148,0,0,8
-5,50,55,134,3,0,11
-4,37,52,118,0,0,18
-5,20,56,130,0,0,6
-6,39,88,142,0,0,18
-6,22,80,142,5,0,2
-5,50,59,140,0,0,9
-4,28,48,113,2,0,18
-7,39,89,158,23,0,10
-6,25,85,147,0,0,12
-6,91,75,144,0,0,4
-6,10,84,149,0,0,9
-6,10,88,140,0,0,5
-5,61,59,135,0,0,11
-7,32,88,161,0,0,6
-6,22,86,148,5,0,15
-6,35,81,144,0,0,24
-5,39,52,149,0,0,11
-6,27,77,147,2,0,7
-6,29,79,141,5,0,7
-5,30,57,142,1,0,12
-6,41,88,148,0,0,15
-6,30,79,145,2,0,27
-7,41,89,166,1,0,9
-7,36,88,164,0,0,7
-6,38,73,144,0,0,14
-5,30,58,128,0,0,30
-6,50,70,144,12,0,24
-7,89,89,167,10,0,3
-6,78,87,149,0,0,11
-5,40,57,139,0,0,21
-8,4,105,164,0,0,4
